entity,added,deleted,commits
src/third_party/libprocess/third_party/boost-1.37.0/boost/mpl/vector/aux_/preprocessed/no_ctps/vector30.hpp,2124,0,1
third_party/protobuf-2.4.1/src/google/protobuf/compiler/parser_unittest.cc,2122,2122,2
3rdparty/libprocess/3rdparty/stout/tests/protobuf_tests.pb.h,2113,127,7
src/tests/master_quota_tests.cpp,2109,777,34
src/third_party/boost-1.37.0/boost/mpl/vector/aux_/preprocessed/plain/vector50.hpp,2104,0,1
src/third_party/libprocess/third_party/boost-1.37.0/boost/mpl/vector/aux_/preprocessed/plain/vector50.hpp,2104,0,1
frameworks/hadoop-0.20.0/src/core/org/apache/hadoop/io/compress/bzip2/CBZip2OutputStream.java,2081,0,1
frameworks/hadoop-0.20.0/src/c++/libhdfs/hdfs.c,2080,0,1
src/nexus_sched.cpp,2077,948,42
include/mesos/v1/mesos.proto,2055,245,49
third_party/libprocess/third_party/gmock-1.6.0/include/gmock/gmock-generated-matchers.h,2054,2054,2
third_party/gmock-1.6.0/include/gmock/gmock-generated-matchers.h,2054,2054,2
third_party/libprocess/third_party/gmock-1.5.0/gtest/include/gtest/gtest.h,2052,2052,2
third_party/libprocess/process.hpp,2046,1175,14
src/tests/containerizer/provisioner_docker_tests.cpp,2041,2249,64
src/tests/authorization_tests.cpp,2007,842,18
site/source/assets/js/bootstrap.js,2006,0,1
src/docker/docker.cpp,1983,738,73
src/tests/persistent_volume_tests.cpp,1982,501,28
src/Makefile.in,1974,1974,109
src/third_party/zookeeper-3.2.2/docs/zookeeperProgrammers.pdf,1960,0,1
third_party/protobuf-2.3.0/gtest/include/gtest/gtest.h,1958,1958,2
src/third_party/gtest-1.4.0-patched/include/gtest/gtest.h,1958,0,1
third_party/protobuf-2.4.1/gtest/include/gtest/gtest.h,1958,1958,2
src/webui/bottle-0.8.3/bottle.py,1936,1936,3
third_party/protobuf-2.4.1/src/google/protobuf/compiler/cpp/cpp_message.cc,1933,1933,2
src/tests/fetcher_cache_tests.cpp,1923,324,26
frameworks/hadoop-0.20.0/src/mapred/org/apache/hadoop/mapred/JobClient.java,1922,0,1
hadoop/hadoop-0.20.205.0.patch,1921,1921,12
src/tests/utils.hpp,1907,1986,90
third_party/protobuf-2.4.1/java/src/main/java/com/google/protobuf/Descriptors.java,1887,1887,2
third_party/protobuf-2.3.0/java/src/main/java/com/google/protobuf/Descriptors.java,1879,1879,2
frameworks/hadoop-0.20.0/src/core/org/apache/hadoop/fs/FsShell.java,1876,0,1
