entity,fractal-value,total-revs
src/zookeeper/detector.hpp,0.78,6
docs/maintenance.md,0.78,6
src/state/in_memory.hpp,0.78,6
docs/endpoints/master/roles.md,0.78,6
src/python/native/src/mesos/native/mesos_scheduler_driver_impl.hpp,0.78,6
src/common/status_utils.hpp,0.78,6
3rdparty/libprocess/src/profiler.cpp,0.78,6
src/log/tool/initialize.cpp,0.78,6
3rdparty/libprocess/3rdparty/stout/include/stout/numify.hpp,0.78,6
docs/endpoints/master/maintenance/schedule.md,0.78,6
src/tests/containerizer/launcher.hpp,0.78,6
docs/endpoints/master/unreserve.md,0.78,6
docs/endpoints/master/roles.json.md,0.78,6
src/log/tool/read.hpp,0.78,6
3rdparty/libprocess/3rdparty/stout/include/stout/os/ls.hpp,0.78,6
include/mesos/master/allocator.proto,0.78,6
src/state/in_memory.cpp,0.78,6
src/java/generated/org/apache/mesos/MesosNativeLibrary.java.in,0.78,6
src/common/lock.hpp,0.78,6
src/tests/scheduler_driver_tests.cpp,0.78,6
src/usage/main.cpp,0.78,6
docs/endpoints/master/create-volumes.md,0.78,6
3rdparty/libprocess/src/tests/sequence_tests.cpp,0.78,6
3rdparty/libprocess/src/reap.cpp,0.78,6
docs/endpoints/master/destroy-volumes.md,0.78,6
docs/endpoints/master/reserve.md,0.78,6
src/sched/sched.cpp,0.77,171
src/local/local.cpp,0.77,79
src/master/registrar.cpp,0.77,36
src/logging/logging.cpp,0.77,33
src/slave/containerizer/isolators/cgroups/mem.hpp,0.77,24
3rdparty/libprocess/3rdparty/stout/include/stout/posix/os.hpp,0.77,22
src/webui/master/static/slave_executor.html,0.77,21
src/slave/containerizer/fetcher.hpp,0.77,14
src/common/date_utils.hpp,0.77,14
include/mesos/hook.hpp,0.77,13
src/log/consensus.cpp,0.77,9
src/slave/containerizer/mesos/isolators/posix/disk.cpp,0.77,9
3rdparty/libprocess/3rdparty/stout/include/stout/os/killtree.hpp,0.77,9
src/tests/allocator_tests.cpp,0.76,72
src/webui/master/static/framework.html,0.76,30
src/tests/persistent_volume_tests.cpp,0.76,28
src/tests/utils.cpp,0.76,22
src/slave/containerizer/mesos/provisioner/docker/registry_client.hpp,0.76,20
src/linux/routing/filter/ip.hpp,0.76,18
src/slave/containerizer/linux_launcher.hpp,0.76,16
src/log/replica.hpp,0.76,15
include/mesos/v1/mesos.hpp,0.76,12
site/source/index.html.md,0.76,10
src/tests/zookeeper_test_server.cpp,0.76,10
3rdparty/libprocess/include/process/deferred.hpp,0.76,10
src/common/build.hpp,0.76,10
src/authorizer/authorizer.cpp,0.76,10
src/state/leveldb.hpp,0.76,10
src/linux/routing/handle.hpp,0.76,10
src/docker/docker.hpp,0.75,42
src/examples/long_lived_framework.cpp,0.75,27
src/tests/flags.hpp,0.75,21
docs/persistent-volume.md,0.75,20
src/slave/containerizer/mesos/provisioner/docker/store.cpp,0.75,20
src/examples/test_hook_module.cpp,0.75,20
src/slave/containerizer/isolator.hpp,0.75,17
src/java/src/org/apache/mesos/Scheduler.java,0.75,15
include/mesos/v1/scheduler.hpp,0.75,12
m4/ax_cxx_compile_stdcxx_11.m4,0.75,8
3rdparty/libprocess/3rdparty/stout/include/stout/thread.hpp,0.75,8
src/slave/containerizer/mesos/provisioner/docker/registry_puller.hpp,0.75,8
include/mesos/containerizer/containerizer.proto,0.75,8
src/files/files.hpp,0.75,8
3rdparty/libprocess/include/process/async.hpp,0.75,8
src/watcher/whitelist_watcher.cpp,0.75,8
3rdparty/libprocess/3rdparty/stout/tests/main.cpp,0.75,8
src/state/protobuf.hpp,0.75,8
3rdparty/libprocess/3rdparty/stout/tests/thread_tests.cpp,0.75,8
3rdparty/libprocess/src/tests/encoder_tests.cpp,0.75,8
docs/presentations.md,0.75,4
3rdparty/libprocess/3rdparty/stout/include/stout/dynamiclibrary.hpp,0.75,4
src/common/resources_utils.cpp,0.75,4
src/jvm/java/io.hpp,0.75,4
src/tests/active_user_test_helper.cpp,0.75,4
support/reviewboardrc,0.75,4
3rdparty/libprocess/3rdparty/stout/include/stout/stringify.hpp,0.75,4
include/mesos/v1/values.hpp,0.75,4
src/tests/cluster.cpp,0.75,4
support/timed_tests.sh,0.75,4
3rdparty/libprocess/3rdparty/stout/include/stout/os/permissions.hpp,0.75,4
src/tests/anonymous_tests.cpp,0.75,4
docs/sandbox.md,0.75,4
src/slave/containerizer/mesos/provisioner/docker/paths.cpp,0.75,4
src/deploy/mesos-daemon.sh.in,0.75,4
3rdparty/libprocess/3rdparty/stout/tests/subcommand_tests.cpp,0.75,4
src/tests/containerizer/ns_tests.cpp,0.75,4
docs/architecture.md,0.75,4
include/mesos/v1/attributes.hpp,0.75,4
src/messages/messages.cpp,0.75,4
3rdparty/libprocess/3rdparty/stout/tests/svn_tests.cpp,0.75,4
src/deploy/mesos-stop-masters.sh.in,0.75,4
src/deploy/mesos-stop-slaves.sh.in,0.75,4
3rdparty/libprocess/3rdparty/stout/include/stout/os/setns.hpp,0.75,4
3rdparty/libprocess/3rdparty/stout/include/stout/os/shell.hpp,0.75,4
3rdparty/libprocess/3rdparty/stout/tests/dynamiclibrary_tests.cpp,0.75,4
3rdparty/libprocess/3rdparty/stout/include/stout/unreachable.hpp,0.75,4
3rdparty/libprocess/3rdparty/stout/include/stout/utils.hpp,0.75,4
src/tests/event_call_framework_test.sh,0.75,4
3rdparty/libprocess/include/process/profiler.hpp,0.75,4
3rdparty/libprocess/3rdparty/stout/tests/error_tests.cpp,0.75,4
3rdparty/libprocess/3rdparty/stout/tests/bytes_tests.cpp,0.75,4
3rdparty/libprocess/3rdparty/stout/include/stout/exit.hpp,0.75,4
3rdparty/libprocess/3rdparty/stout/include/stout/os/close.hpp,0.75,4
3rdparty/libprocess/include/process/tuples/tuples.hpp,0.75,4
docs/logging.md,0.75,4
docs/multiple-disk.md,0.75,4
src/docker/executor.hpp,0.75,4
src/examples/test_qos_controller_module.cpp,0.75,4
src/deploy/mesos-start-slaves.sh.in,0.75,4
